Key,Id,Custom(01),English(en),Indonesian(id)
,,63 68 6F 6F 73 65 20 79 6F 75 72 20 6C 61 6E 67 75 61 67 65 ,,
,,Can you speak English? (English) ,,
,,Gabesa basa Enggres... (Bahasa Indonesia) ,,
,,,,"Ah, punten. Gua lupa ganti bahasanya wkwk. "
,,,,"(Gua ga ngerti Bahasa Indonesia KBBI sih, bodo amet lah ya~) "
,,,,Err... Anyway... 
,,,,NYEHEHEHEHE! 
,,,,"SELAMAT DATANG DI DUNIA YANG GUA BIKIN, PLAYER! "
,,,,"KENALIN, GUA \""The Developer\""! "
,,,,Err... mungkin lu pernah kenal gua dari masa depan atau dari masa lalu... 
,,,,"Tapi gapapa, kenalan lagi kalau udah kenal. "
,,,,Nyehehehe... 
,,,,Hehe.
,,,,... 
,,,,"DI GAME INI, LU BAKALAN JADI SEORANG SPY! "
,,,,TUGAS LU SEKARANG ADALAH INFILTRASI KOTA HAVVATOPIA! 
,,,,SAAT INI KOTA HAVVATOPIA SEDANG DIBAJAK UNTUK MEMICU TERJADINYA PERANG DIMENSI! 
,,,,SELAMATKAN HAVVA YANG SEDANG DITAWAN DI SANA SERTA CEGAH TERJADINYA PERANG DIMENSI! 
,,,,TANPA. 
,,,,KETAHUAN. 
,,,,SAMA SEKALI!!!!!! 
,,,,... 
,,,,"Udah siap memainkan game ini, Agent Violet? "
,,,,"Oke, siap. (Mulai game) "
,,,,"Engga ah, males. (Keluar) "
,,,,Sip! 
,,,,Gua lagi siapin teleportase lu ke Hub World. 
,,,,"Sampai disana, lu interaksi sama laptop gua yang ada di ujung Hub World biar lu teleport lagi ke Kota Havvatopia. "
,,,,"Dan juga, lu cuma bisa kontak gua disini doang. "
,,,,"Setelah teleportase dari sini, lu bakalan dipandu dengan catatan-catatan yang gua taruh di berbagai sisi di dunia ini. "
,,,,"Sip! Sebelum mulai gamenya, ada pertanyaan ga? "
,,,,Ga ada? 
,,,,"Welp, bukannya ga ada sih, gua emang ga ngasih pilihan buat pertanyaan, NYEHEHEHEHE. "
,,,,... 
,,,,"Sip, teleportase udah siap! "
,,,,Teleportase akan dilakukan dalam waktu ... 
,,,,3... 
,,,,2... 
,,,,1... 
