Key,Id,Custom(01),English(en),Indonesian(id)
CHARACTER_MYSTERIOUSVOICES ,,3f 3f 3f ,??? ,??? 
CHARACTER_THEDEVELOPER ,,,The Developer ,The Developer 
CHARACTER_3DHEADPHONESPHEREROBOT_GUARD ,,,(3D Headphone Sphere Robot) Guard ,(3D Headphone Sphere Robot) Satpam 
CHARACTER_DEVELOPERNOTE ,,,Developer Note ,Pesan Developer 
CHARACTER_DEVELOPERLOGDIARY ,,,Developer Log Diary ,Developer Log Diary 
CHARACTER_CRACKOFTIME ,,,Crack of Time ,Pecahan Waktu 
CHARACTER_2D1BIT_DOOR ,,,(2D 1 Bit) Door ,(2D 1 Bit) Pintu 
CHARACTER_2D1BIT_SWITCH ,,,(2D 1 Bit) Switch ,(2D 1 Bit) Saklar 
CHARACTER_2D1BIT_DOORPASSWORD ,,,(2D 1 Bit) Door with Password ,(2D 1 Bit) Pintu dengan Password 
CHARACTER_2D1BIT_RGBGAMINGDOOR ,,,(2D 1 Bit) RGB Gaming Door ,(2D 1 Bit) Pintu Gaming RGB 
CHARACTER_2D1BIT_SIGNPOST ,,,(2D 1 Bit) Signpost ,(2D 1 Bit) Plang 
CHARACTER_2D1BIT_ELEFATAA ,,,(2D 1 Bit) Elefataa ,(2D 1 Bit) Elefataa 
CHARACTER_2D1BIT_FIREPLACE ,,,(2D 1 Bit) Fire Place ,(2D 1 Bit) Tempat Perapian
CHARACTER_2DHUMANOID_HAVVA,,,(2D Humanoid) Havva,(2D Humanoid) Havva
