Key,Id,Custom(01),English(en),Indonesian(id)
TUTORIAL_MOVE,169693920944128,,Press to move,Tekan untuk bergerak
TUTORIAL_INTERACT,177592948809728,,Hit any object to interact,Tabrak objek apapun untuk berinteraksi
TUTORIAL_RUN,178262858850304,,Hold + move to run ,Tahan + gerak untuk lari 
TUTORIAL_SKIP,178309906358272,,Hold to skip turn ,Tahan untuk lewati giliran 
TUTORIAL_NEXT,178337681039360,,Next ,Lanjut 
TUTORIAL_SELECT,178368857300992,,Select ,Pilih 
TUTORIAL_CHECKPOINT,178485945491456,,Checkpoint! ,Checkpoint! 
TUTORIAL_HUBWORLD,178512256360448,,Hub World ,Hub World 
TUTORIAL_HAVVATOPIA_UPTOWN,178541973004288,,Havvatopia - Uptown ,Havvatopia - Pusat Kota Bagian Atas 
TUTORIAL_HAVVATOPIA_OBSERVATORY,178553486368768,,Havvatopia - Observatory ,Havvatopia - Observatorium 
